t,h_parent,h_child1,h_child2,h_child3
0.0,100000.00000000081,100000.00000000081,100000.00000000081,100000.00000000081
1.0,99471.40980981613,99471.40980981613,99471.40980981613,99471.40980981613
3.0,98398.57064960696,98398.57064960696,98398.57064960696,98398.57064960696
5.0,97304.85387087011,97304.85387087011,97304.85387087011,97304.85387087011
13.0,92707.70303749663,92801.42641538681,92707.70303749663,92707.70303749663
29.0,82429.45536746876,83282.19340148623,82429.45536746876,82429.45536746876
50.0,66742.22286621037,69784.30775179715,66742.22286621037,66742.22286621037
80.0,39681.21303226105,48625.49226549317,43064.259078397365,39681.21303226105
143.4538807386065,-38335.16022782458,-2672.7975414219136,-1313.873150396651,-19258.49538269812
193.1618490914413,-120294.06167409416,-48086.449026251554,-26360.962815030703,-55797.13050255329
200.0,-133028.23668860202,-54628.86263215426,-28809.784671238478,-59836.777476056326
