 Zkm Lat   rhokgm3      pNm2     TK     Zeta    RJkgK
   0  30  6.479E+01  9.210E+06  735.3  1.0100  191.40
   1  30  6.156E+01  8.645E+06  727.7  1.0083  191.40
   2  30  5.845E+01  8.109E+06  720.2  1.0065  191.40
   3  30  5.547E+01  7.601E+06  712.4  1.0050  191.40
   4  30  5.262E+01  7.120E+06  704.6  1.0034  191.40
   5  30  4.987E+01  6.665E+06  696.8  1.0022  191.40
   6  30  4.724E+01  6.235E+06  688.8  1.0010  191.40
   7  30  4.471E+01  5.828E+06  681.1  1.0000  191.40
   8  30  4.226E+01  5.444E+06  673.6   .9990  191.40
   9  30  3.995E+01  5.081E+06  665.8   .9981  191.40
  10  30  3.772E+01  4.739E+06  658.2   .9973  191.40
  11  30  3.558E+01  4.416E+06  650.6   .9966  191.40
  12  30  3.354E+01  4.112E+06  643.2   .9958  191.40
  13  30  3.160E+01  3.826E+06  635.5   .9954  191.40
  14  30  2.974E+01  3.557E+06  628.1   .9949  191.40
  15  30  2.795E+01  3.304E+06  620.8   .9947  191.40
  16  30  2.627E+01  3.066E+06  613.3   .9944  191.40
  17  30  2.468E+01  2.843E+06  605.2   .9942  191.40
  18  30  2.318E+01  2.633E+06  597.1   .9939  191.40
  19  30  2.174E+01  2.436E+06  589.3   .9937  191.40
  20  30  2.039E+01  2.252E+06  580.7   .9935  191.40
  21  30  1.911E+01  2.079E+06  572.4   .9933  191.40
  22  30  1.788E+01  1.917E+06  564.3   .9931  191.40
  23  30  1.671E+01  1.766E+06  556.0   .9930  191.40
  24  30  1.562E+01  1.625E+06  547.5   .9929  191.40
  25  30  1.457E+01  1.493E+06  539.2   .9929  191.40
  26  30  1.359E+01  1.370E+06  530.7   .9928  191.40
  27  30  1.265E+01  1.256E+06  522.3   .9928  191.40
  28  30  1.177E+01  1.149E+06  513.8   .9928  191.40
  29  30  1.093E+01  1.050E+06  505.6   .9929  191.40
  30  30  1.015E+01  9.581E+05  496.9   .9929  191.40
  31  30  9.406E+00  8.729E+05  488.3   .9930  191.40
  32  30  8.704E+00  7.940E+05  479.9   .9931  191.40
  33  30  8.041E+00  7.211E+05  471.7   .9932  191.40
  34  30  7.420E+00  6.537E+05  463.4   .9933  191.40
  35  30  6.831E+00  5.917E+05  455.5   .9935  191.40
  36  30  6.274E+00  5.346E+05  448.0   .9937  191.40
