"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)","speed (km/sec)","vr (km/sec)","vi (km/sec)"
28 Feb 2024 20:00:00.000,-213.912482,-5386.743372,-4271.534371,5.913258,4.899414,-6.474677,10.044517,-0.000000,10.044517
28 Feb 2024 20:01:00.000,141.062720,-5081.150596,-4650.299836,5.915951,5.283589,-6.147253,10.035114,0.373675,10.028154
28 Feb 2024 20:02:00.000,495.423351,-4753.287523,-5008.686904,5.892859,5.641037,-5.796231,10.007167,0.742105,9.979613
28 Feb 2024 20:03:00.000,847.650050,-4404.888544,-5345.443062,5.845037,5.967581,-5.427136,9.961440,1.100349,9.900481
28 Feb 2024 20:04:00.000,1196.309569,-4037.903560,-5659.658225,5.774277,6.260237,-5.045798,9.899137,1.444031,9.793247
28 Feb 2024 20:05:00.000,1540.094617,-3654.423811,-5950.772772,5.682956,6.517278,-4.658013,9.821812,1.769539,9.661094
28 Feb 2024 20:06:00.000,1877.853160,-3256.607069,-6218.565914,5.573842,6.738197,-4.269237,9.731259,2.074131,9.507648
28 Feb 2024 20:07:00.000,2208.606107,-2846.608341,-6463.127803,5.449899,6.923565,-3.884347,9.629398,2.355962,9.336742
28 Feb 2024 20:08:00.000,2531.553801,-2426.520658,-6684.820075,5.314117,7.074841,-3.507496,9.518180,2.614037,9.152189
28 Feb 2024 20:09:00.000,2846.072871,-1998.328487,-6884.229844,5.169364,7.194148,-3.142043,9.399496,2.848108,8.957612
28 Feb 2024 20:10:00.000,3151.705624,-1563.874482,-7062.121730,5.018280,7.284055,-2.790552,9.275116,3.058547,8.756316
28 Feb 2024 20:11:00.000,3448.144367,-1124.838825,-7219.391583,4.863217,7.347379,-2.454846,9.146645,3.246204,8.551215
28 Feb 2024 20:12:00.000,3735.212871,-682.729424,-7357.024417,4.706204,7.387020,-2.136090,9.015503,3.412273,8.344800
28 Feb 2024 20:13:00.000,4012.846806,-238.880825,-7476.058028,4.548942,7.405840,-1.834895,8.882915,3.558172,8.139140
28 Feb 2024 20:14:00.000,4281.074531,205.540408,-7577.552846,4.392824,7.406566,-1.551422,8.749916,3.685442,7.935903
28 Feb 2024 20:15:00.000,4539.999170,649.525876,-7662.567944,4.238956,7.391735,-1.285481,8.617363,3.795668,7.736398
28 Feb 2024 20:16:00.000,4789.782513,1092.212833,-7732.142704,4.088193,7.363661,-1.036619,8.485953,3.890421,7.541619
28 Feb 2024 20:17:00.000,5030.630994,1532.870301,-7787.283415,3.941173,7.324422,-0.804198,8.356239,3.971217,7.352290
28 Feb 2024 20:18:00.000,5262.783777,1970.884845,-7828.953994,3.798355,7.275860,-0.587452,8.228653,4.039484,7.168912
28 Feb 2024 20:19:00.000,5486.502842,2405.746673,-7858.070049,3.660046,7.219590,-0.385544,8.103521,4.096556,6.991802
28 Feb 2024 20:20:00.000,5702.064894,2837.036533,-7875.495553,3.526434,7.157018,-0.197596,7.981083,4.143653,6.821130
28 Feb 2024 20:21:00.000,5909.754870,3264.413637,-7882.041524,3.397610,7.089357,-0.022723,7.861504,4.181892,6.656954
28 Feb 2024 20:22:00.000,6109.860816,3687.604767,-7878.466171,3.273589,7.017649,0.139946,7.744893,4.212277,6.499238
28 Feb 2024 20:23:00.000,6302.669916,4106.394559,-7865.476097,3.154330,6.942785,0.291258,7.631310,4.235713,6.347884
28 Feb 2024 20:24:00.000,6488.465471,4520.616948,-7843.728232,3.039747,6.865521,0.432022,7.520777,4.253010,6.202740
28 Feb 2024 20:25:00.000,6667.524654,4930.147697,-7813.832223,2.929724,6.786496,0.563004,7.413285,4.264890,6.063621
28 Feb 2024 20:26:00.000,6840.116892,5334.897912,-7776.353111,2.824120,6.706253,0.684924,7.308803,4.271994,5.930317
28 Feb 2024 20:27:00.000,7006.502739,5734.808453,-7731.814127,2.722781,6.625243,0.798456,7.207282,4.274892,5.802604
28 Feb 2024 20:28:00.000,7166.933146,6129.845134,-7680.699527,2.625541,6.543848,0.904225,7.108659,4.274088,5.680247
28 Feb 2024 20:29:00.000,7321.649039,6519.994605,-7623.457369,2.532233,6.462384,1.002813,7.012863,4.270031,5.563010
28 Feb 2024 20:30:00.000,7470.881121,6905.260850,-7560.502205,2.442685,6.381113,1.094756,6.919812,4.263114,5.450657
28 Feb 2024 20:31:00.000,7614.849866,7285.662201,-7492.217646,2.356727,6.300252,1.180550,6.829424,4.253688,5.342955
28 Feb 2024 20:32:00.000,7753.765640,7661.228794,-7418.958774,2.274192,6.219979,1.260650,6.741612,4.242062,5.239679
28 Feb 2024 20:33:00.000,7887.828919,8032.000423,-7341.054402,2.194918,6.140440,1.335476,6.656287,4.228510,5.140609
28 Feb 2024 20:34:00.000,8017.230581,8398.024711,-7258.809183,2.118747,6.061750,1.405415,6.573363,4.213274,5.045535
28 Feb 2024 20:35:00.000,8142.152245,8759.355572,-7172.505553,2.045529,5.984004,1.470822,6.492751,4.196567,4.954254
28 Feb 2024 20:36:00.000,8262.766641,9116.051907,-7082.405525,1.975117,5.907275,1.532022,6.414365,4.178580,4.866574
28 Feb 2024 20:37:00.000,8379.237992,9468.176504,-6988.752347,1.907375,5.831619,1.589315,6.338121,4.159479,4.782313
28 Feb 2024 20:38:00.000,8491.722418,9815.795116,-6891.772014,1.842169,5.757079,1.642978,6.263938,4.139413,4.701295
28 Feb 2024 20:39:00.000,8600.368326,10158.975683,-6791.674658,1.779375,5.683686,1.693263,6.191736,4.118515,4.623358
28 Feb 2024 20:40:00.000,8705.316804,10497.787675,-6688.655824,1.718874,5.611460,1.740404,6.121439,4.096899,4.548344
28 Feb 2024 20:41:00.000,8806.701998,10832.301553,-6582.897630,1.660553,5.540414,1.784615,6.052972,4.074671,4.476107
28 Feb 2024 20:42:00.000,8904.651488,11162.588307,-6474.569835,1.604306,5.470553,1.826094,5.986265,4.051921,4.406508
28 Feb 2024 20:43:00.000,8999.286640,11488.719081,-6363.830805,1.550033,5.401878,1.865023,5.921250,4.028730,4.339416
28 Feb 2024 20:44:00.000,9090.722947,11810.764854,-6250.828411,1.497637,5.334383,1.901571,5.857860,4.005172,4.274708
28 Feb 2024 20:45:00.000,9179.070354,12128.796186,-6135.700836,1.447029,5.268059,1.935892,5.796034,3.981310,4.212266
28 Feb 2024 20:46:00.000,9264.433566,12442.882998,-6018.577315,1.398125,5.202894,1.968130,5.735712,3.957201,4.151981
28 Feb 2024 20:47:00.000,9346.912339,12753.094405,-5899.578824,1.350843,5.138873,1.998416,5.676835,3.932896,4.093750
28 Feb 2024 20:48:00.000,9426.601760,13059.498573,-5778.818692,1.305110,5.075980,2.026874,5.619351,3.908439,4.037475
28 Feb 2024 20:49:00.000,9503.592503,13362.162608,-5656.403176,1.260852,5.014196,2.053617,5.563205,3.883871,3.983064
28 Feb 2024 20:50:00.000,9577.971081,13661.152469,-5532.431979,1.218003,4.953501,2.078750,5.508349,3.859227,3.930429
28 Feb 2024 20:51:00.000,9649.820070,13956.532897,-5406.998730,1.176499,4.893875,2.102371,5.454734,3.834537,3.879491
28 Feb 2024 20:52:00.000,9719.218334,14248.367369,-5280.191422,1.136280,4.835296,2.124570,5.402316,3.809831,3.830170
