"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)","speed (km/sec)","vr (km/sec)","vi (km/sec)"
28 Feb 2024 20:00:00.000,6428.026275,-34.604591,-15.034132,0.042390,7.874446,-0.000400,7.874561,-0.000000,7.874561
28 Feb 2024 20:00:30.000,6424.933435,202.359984,-15.035963,-0.247894,7.870658,0.000279,7.874561,0.000000,7.874561
28 Feb 2024 20:01:00.000,6413.108083,439.049520,-15.017357,-0.537841,7.856171,0.000958,7.874561,0.000000,7.874561
28 Feb 2024 20:01:30.000,6392.566292,675.142317,-14.978340,-0.827058,7.831007,0.001635,7.874561,0.000000,7.874561
28 Feb 2024 20:02:00.000,6363.335979,910.317488,-14.918966,-1.115150,7.795200,0.002310,7.874561,0.000000,7.874561
28 Feb 2024 20:02:30.000,6325.456876,1144.255392,-14.839314,-1.401726,7.748797,0.002982,7.874561,0.000000,7.874561
28 Feb 2024 20:03:00.000,6278.980464,1376.638069,-14.739493,-1.686398,7.691863,0.003650,7.874561,0.000000,7.874561
28 Feb 2024 20:03:30.000,6223.969913,1607.149675,-14.619639,-1.968777,7.624474,0.004313,7.874561,0.000000,7.874561
28 Feb 2024 20:04:00.000,6160.499991,1835.476908,-14.479915,-2.248480,7.546722,0.004971,7.874561,0.000000,7.874561
28 Feb 2024 20:04:30.000,6088.656965,2061.309434,-14.320509,-2.525128,7.458713,0.005621,7.874561,0.000000,7.874561
28 Feb 2024 20:05:00.000,6008.538479,2284.340310,-14.141641,-2.798343,7.360567,0.006264,7.874561,0.000000,7.874561
28 Feb 2024 20:05:30.000,5920.253428,2504.266403,-13.943551,-3.067755,7.252416,0.006898,7.874561,0.000000,7.874561
28 Feb 2024 20:06:00.000,5823.921805,2720.788797,-13.726510,-3.332997,7.134408,0.007523,7.874561,0.000000,7.874561
28 Feb 2024 20:06:30.000,5719.674542,2933.613204,-13.490812,-3.593709,7.006703,0.008138,7.874561,0.000000,7.874561
28 Feb 2024 20:07:00.000,5607.653325,3142.450360,-13.236778,-3.849537,6.869475,0.008741,7.874561,0.000000,7.874561
28 Feb 2024 20:07:30.000,5488.010410,3347.016425,-12.964753,-4.100133,6.722911,0.009333,7.874561,0.000000,7.874561
28 Feb 2024 20:08:00.000,5360.908411,3547.033358,-12.675107,-4.345156,6.567208,0.009912,7.874561,0.000000,7.874561
28 Feb 2024 20:08:30.000,5226.520080,3742.229305,-12.368234,-4.584273,6.402580,0.010478,7.874561,0.000000,7.874561
28 Feb 2024 20:09:00.000,5085.028071,3932.338965,-12.044550,-4.817159,6.229250,0.011029,7.874561,0.000000,7.874561
28 Feb 2024 20:09:30.000,4936.624697,4117.103946,-11.704495,-5.043498,6.047453,0.011566,7.874561,0.000000,7.874561
28 Feb 2024 20:10:00.000,4781.511659,4296.273124,-11.348533,-5.262983,5.857437,0.012086,7.874561,0.000000,7.874561
28 Feb 2024 20:10:30.000,4619.899782,4469.602980,-10.977146,-5.475314,5.659460,0.012591,7.874561,0.000000,7.874561
28 Feb 2024 20:11:00.000,4452.008722,4636.857930,-10.590839,-5.680203,5.453790,0.013078,7.874561,0.000000,7.874561
28 Feb 2024 20:11:30.000,4278.066670,4797.810649,-10.190137,-5.877372,5.240708,0.013547,7.874561,0.000000,7.874561
28 Feb 2024 20:12:00.000,4098.310040,4952.242375,-9.775586,-6.066552,5.020503,0.013998,7.874561,0.000000,7.874561
28 Feb 2024 20:12:30.000,3912.983152,5099.943212,-9.347748,-6.247487,4.793474,0.014430,7.874561,0.000000,7.874561
28 Feb 2024 20:13:00.000,3722.337894,5240.712409,-8.907205,-6.419931,4.559931,0.014842,7.874561,0.000000,7.874561
28 Feb 2024 20:13:30.000,3526.633383,5374.358640,-8.454555,-6.583649,4.320189,0.015234,7.874561,0.000000,7.874561
28 Feb 2024 20:14:00.000,3326.135613,5500.700258,-7.990415,-6.738419,4.074576,0.015606,7.874561,0.000000,7.874561
28 Feb 2024 20:14:30.000,3121.117092,5619.565544,-7.515414,-6.884030,3.823425,0.015956,7.874561,0.000000,7.874561
28 Feb 2024 20:15:00.000,2911.856474,5730.792942,-7.030198,-7.020285,3.567077,0.016284,7.874561,0.000000,7.874561
28 Feb 2024 20:15:30.000,2698.638177,5834.231275,-6.535428,-7.146998,3.305880,0.016591,7.874561,0.000000,7.874561
28 Feb 2024 20:16:00.000,2481.751999,5929.739954,-6.031774,-7.263997,3.040191,0.016875,7.874561,0.000000,7.874561
28 Feb 2024 20:16:30.000,2261.492723,6017.189168,-5.519923,-7.371124,2.770369,0.017135,7.874561,0.000000,7.874561
28 Feb 2024 20:17:00.000,2038.159717,6096.460059,-5.000569,-7.468231,2.496783,0.017373,7.874561,0.000000,7.874561
28 Feb 2024 20:17:30.000,1812.056525,6167.444886,-4.474419,-7.555188,2.219802,0.017587,7.874561,0.000000,7.874561
28 Feb 2024 20:18:00.000,1583.490459,6230.047168,-3.942187,-7.631877,1.939805,0.017777,7.874561,0.000000,7.874561
28 Feb 2024 20:18:30.000,1352.772176,6284.181819,-3.404597,-7.698192,1.657171,0.017943,7.874561,0.000000,7.874561
28 Feb 2024 20:19:00.000,1120.215259,6329.775262,-2.862379,-7.754045,1.372284,0.018085,7.874561,0.000000,7.874561
