t,h_parent,h_child1,h_child2,h_child3
0.0,100000.00000000081,100000.00000000081,100000.00000000081,100000.00000000081
1.0,99471.40980981565,99471.40980981565,99471.40980981565,99471.40980981565
3.0,98398.57064960696,98398.57064960696,98398.57064960696,98398.57064960696
7.0,96190.26022676648,96190.26022676648,96190.26022676648,96190.26022676648
15.0,91523.12595298137,91523.12595298137,91523.12595298137,91523.12595298137
31.0,81186.77640216431,81186.77640216431,81186.77640216431,81186.77640216431
50.0,67176.29601007442,67176.29601007442,67176.29601007442,67176.29601007442
100.0,20714.255616385362,24854.595585180934,20714.255616385362,20714.255616385362
120.0,-2016.9244273211054,6364.345039554048,-262.1299690147458,-2016.9244273211054
177.0668282612868,-82618.20728566954,-50657.35699110297,-53181.41687560699,-65071.97319488671
200.0,-121875.19519361312,-75109.7320840098,-70336.7517476599,-86311.98180190481
